invoice_id,order_id,customer_id,partner_id,invoice_date,due_date,invoice_amount,invoice_status
INV900000,O500000,C100345,P1015,2025-04-23,2025-05-14,7482.17,Paid
INV900001,O500001,C100513,P1013,2025-01-23,2025-02-07,10854.29,Open
INV900002,O500002,C100192,P1000,2026-01-01,2026-02-05,3478.38,Paid
INV900003,O500003,C100799,P1003,2025-02-16,2025-03-31,9146.12,Overdue
INV900004,O500005,C100195,P1022,2024-06-06,2024-06-23,5430.76,Open
INV900005,O500007,C100378,P1013,2025-08-26,2025-09-10,6936.43,Paid
INV900006,O500010,C100192,P1022,2024-05-31,2024-06-17,4447.07,Open
INV900007,O500013,C100742,P1019,2025-05-16,2025-06-23,6753.01,Open
INV900008,O500015,C100390,P1004,2025-12-05,2026-01-02,9890.08,Open
INV900009,O500016,C100728,P1022,2025-01-06,2025-02-02,9719.94,Open
INV900010,O500018,C100136,P1010,2025-06-12,2025-07-14,5472.77,Paid
INV900011,O500019,C100497,P1017,2024-07-30,2024-08-21,1791.48,Paid
INV900012,O500021,C100537,P1006,2024-02-16,2024-03-26,13341.6,Disputed
INV900013,O500022,C100525,P1007,2025-03-14,2025-04-18,9944.93,Open
INV900014,O500023,C100618,P1014,2025-11-28,2026-01-06,14120.26,Open
INV900015,O500024,C100362,P1015,2025-05-03,2025-05-23,13531.37,Paid
INV900016,O500026,C100511,P1006,2024-02-13,2024-03-04,8689.18,Open
INV900017,O500027,C100502,P1023,2025-02-03,2025-02-27,11820.74,Paid
INV900018,O500028,C100681,P1012,2025-08-02,2025-08-27,13539.96,Overdue
INV900019,O500029,C100739,P1021,2025-04-21,2025-05-15,7796.05,Overdue
INV900020,O500030,C100270,P1008,2025-10-12,2025-11-14,9168.16,Paid
INV900021,O500034,C100109,P1019,2025-10-02,2025-10-21,4163.54,Open
INV900022,O500036,C100546,P1007,2024-07-09,2024-07-28,1433.04,Paid
INV900023,O500038,C100792,P1014,2025-06-03,2025-06-20,19796.75,Disputed
INV900024,O500040,C100105,P1000,2024-08-25,2024-09-30,12198.63,Open
INV900025,O500042,C100232,P1015,2024-09-22,2024-10-28,12698.8,Open
INV900026,O500043,C100489,P1023,2024-04-17,2024-05-04,16543.75,Paid
INV900027,O500045,C100033,P1004,2024-06-22,2024-07-18,2570.32,Open
INV900028,O500046,C100510,P1024,2025-11-08,2025-11-29,8946.74,Paid
INV900029,O500047,C100071,P1013,2025-02-11,2025-02-27,14109.21,Open
INV900030,O500050,C100704,P1011,2024-09-16,2024-10-26,5557.91,Open
INV900031,O500051,C100251,P1015,2024-05-08,2024-06-22,5006.49,Open
INV900032,O500053,C100241,P1009,2025-02-18,2025-03-06,14334.2,Paid
INV900033,O500055,C100154,P1024,2024-09-26,2024-10-30,16307.71,Overdue
INV900034,O500058,C100064,P1009,2024-08-07,2024-09-11,20778.94,Open
INV900035,O500061,C100502,P1020,2024-04-20,2024-05-09,4708.52,Open
INV900036,O500062,C100493,P1000,2025-12-05,2025-12-24,14703.2,Paid
INV900037,O500065,C100707,P1017,2025-10-27,2025-12-10,9048.94,Paid
INV900038,O500066,C100228,P1023,2025-12-03,2026-01-17,4680.27,Open
INV900039,O500067,C100174,P1018,2025-08-29,2025-09-19,11419.97,Paid
INV900040,O500069,C100122,P1006,2025-04-09,2025-04-28,7860.81,Open
INV900041,O500071,C100169,P1016,2025-04-04,2025-05-15,15586.22,Overdue
INV900042,O500072,C100216,P1010,2025-03-29,2025-05-05,13391.41,Paid
INV900043,O500077,C100226,P1023,2024-01-16,2024-02-01,2109.01,Open
INV900044,O500078,C100743,P1000,2024-02-01,2024-02-20,6344.34,Open
INV900045,O500080,C100098,P1015,2025-11-03,2025-11-20,4539.15,Paid
INV900046,O500081,C100490,P1005,2025-03-08,2025-04-12,2446.76,Open
INV900047,O500082,C100258,P1020,2024-05-11,2024-06-02,921.52,Open
INV900048,O500083,C100287,P1002,2025-07-31,2025-09-06,21671.34,Open
INV900049,O500084,C100479,P1006,2024-04-15,2024-05-07,13756.07,Open
INV900050,O500085,C100787,P1023,2024-10-10,2024-11-18,14586.88,Overdue
INV900051,O500086,C100466,P1018,2024-08-30,2024-09-22,3258.17,Paid
INV900052,O500087,C100762,P1002,2024-01-12,2024-02-25,2061.39,Overdue
INV900053,O500088,C100656,P1003,2025-08-17,2025-09-08,11141.9,Overdue
INV900054,O500090,C100632,P1001,2024-08-27,2024-10-06,7490.56,Open
INV900055,O500092,C100204,P1014,2024-01-10,2024-01-26,19765.18,Open
INV900056,O500093,C100781,P1000,2024-11-17,2024-12-12,26332.54,Paid
INV900057,O500094,C100734,P1007,2025-01-20,2025-02-09,5184.74,Paid
INV900058,O500096,C100568,P1024,2025-09-02,2025-10-14,9023.57,Open
INV900059,O500098,C100122,P1021,2024-04-14,2024-05-29,1949.71,Overdue
INV900060,O500099,C100051,P1008,2025-01-28,2025-03-08,6143.59,Paid
INV900061,O500102,C100577,P1021,2024-02-06,2024-03-15,4341.04,Paid
INV900062,O500103,C100402,P1018,2025-12-16,2026-01-02,3519.2,Open
INV900063,O500104,C100413,P1022,2024-11-28,2024-12-20,12474.54,Paid
INV900064,O500105,C100030,P1013,2024-05-12,2024-06-15,12084.91,Open
INV900065,O500106,C100231,P1022,2025-03-29,2025-04-13,1838.18,Open
INV900066,O500107,C100069,P1018,2024-08-24,2024-10-07,5854.95,Open
INV900067,O500108,C100345,P1018,2025-11-17,2025-12-04,3951.7,Open
INV900068,O500109,C100017,P1016,2024-08-06,2024-09-05,19267.2,Paid
INV900069,O500111,C100235,P1015,2025-02-04,2025-03-03,9812.1,Paid
INV900070,O500112,C100592,P1008,2024-07-03,2024-08-14,10304.68,Overdue
INV900071,O500113,C100042,P1016,2025-01-02,2025-02-12,3192.17,Paid
INV900072,O500115,C100338,P1019,2025-04-22,2025-05-18,3406.19,Paid
INV900073,O500117,C100650,P1017,2025-11-29,2026-01-10,9436.93,Open
INV900074,O500118,C100435,P1005,2024-09-05,2024-09-24,6694.82,Paid
INV900075,O500119,C100491,P1019,2024-07-31,2024-08-23,4426.23,Paid
INV900076,O500121,C100539,P1003,2025-05-28,2025-06-13,6521.0,Open
