order_id,order_date,customer_id,partner_id,product_id,quantity,order_channel,priority,promised_sla_days,status,discount_pct,gross_amount,discount_amount,net_amount,cost_amount
O500000,2025-04-19,C100345,P1015,SKU2016,3,Web,Express,5,Delivered,0.148,7442.28,1101.46,6340.82,401.22
O500001,2025-01-16,C100513,P1013,SKU2100,4,Mobile,Standard,3,Delivered,0.192,12793.84,2456.42,10337.42,8787.4
O500002,2025-12-25,C100192,P1000,SKU2100,1,B2B,Standard,4,Delivered,0.029,3198.46,92.76,3105.7,2196.85
O500003,2025-02-07,C100799,P1003,SKU2107,5,Web,Standard,4,Delivered,0.206,9761.9,2010.95,7750.95,4768.75
O500004,2025-04-14,C100152,P1003,SKU2065,3,Mobile,Standard,1,Delivered,0.213,2042.4,435.03,1607.37,1022.28
O500005,2024-06-03,C100195,P1022,SKU2088,5,Mobile,Standard,1,Delivered,0.198,6046.0,1197.11,4848.89,2578.05
O500006,2025-06-29,C100400,P1001,SKU2087,4,Web,Standard,1,Cancelled,0.234,11733.16,2745.56,8987.6,4278.4
O500007,2025-08-22,C100378,P1013,SKU2025,4,Marketplace,Express,2,Delivered,0.218,7517.04,1638.71,5878.33,4592.52
O500008,2025-05-11,C100040,P1009,SKU2062,1,Web,Standard,2,In-Transit,0.192,3075.18,590.43,2484.75,1305.0
O500009,2024-12-30,C100728,P1000,SKU2031,3,Marketplace,Standard,2,Delivered,0.145,10752.36,1559.09,9193.27,6719.01
O500010,2024-05-24,C100192,P1022,SKU2090,4,Mobile,Standard,3,Delivered,0.202,4722.68,953.98,3768.7,2682.4
O500011,2024-01-25,C100082,P1000,SKU2116,5,Web,Standard,4,In-Transit,0.244,14188.4,3461.97,10726.43,9705.3
O500012,2025-04-03,C100415,P1021,SKU2009,2,Web,Standard,3,Delivered,0.159,4566.16,726.02,3840.14,1611.46
O500013,2025-05-14,C100742,P1019,SKU2009,3,Marketplace,Express,3,Delivered,0.061,6849.24,417.8,6431.44,2417.19
O500014,2025-07-18,C100001,P1019,SKU2031,1,Mobile,Standard,3,Cancelled,0.062,3584.12,222.22,3361.9,2239.67
O500015,2025-11-25,C100390,P1004,SKU2014,3,Web,Standard,4,Delivered,0.199,10463.7,2082.28,8381.42,835.53
O500016,2024-12-29,C100728,P1022,SKU2001,3,Web,Standard,3,Delivered,0.247,10939.23,2701.99,8237.24,2462.16
O500017,2025-08-29,C100714,P1014,SKU2117,1,Mobile,Standard,3,Cancelled,0.053,1277.48,67.71,1209.77,978.23
O500018,2025-06-07,C100136,P1010,SKU2069,5,Web,Express,7,Delivered,0.243,6454.95,1568.55,4886.4,4210.0
O500019,2024-07-21,C100497,P1017,SKU2093,4,B2B,Standard,3,Delivered,0.067,1714.4,114.86,1599.54,579.76
O500020,2025-09-09,C100668,P1008,SKU2067,1,Web,Standard,3,Cancelled,0.103,2874.73,296.1,2578.63,2242.09
