payment_id,invoice_id,payment_date,payment_amount,payment_mode
PAY0000001,INV900000,2025-05-02,7493.39,Wire
PAY0000002,INV900002,2026-01-16,359.77,UPI
PAY0000003,INV900002,2026-01-18,1412.88,UPI
PAY0000004,INV900002,2026-01-06,1715.81,Card
PAY0000005,INV900005,2025-08-30,3757.82,Wire
PAY0000006,INV900005,2025-09-07,3181.63,Wire
PAY0000007,INV900010,2025-06-18,2757.99,UPI
PAY0000008,INV900010,2025-06-18,898.73,UPI
PAY0000009,INV900010,2025-06-20,1829.68,UPI
PAY0000010,INV900011,2024-08-14,1454.35,UPI
PAY0000011,INV900011,2024-08-17,339.33,Wire
PAY0000012,INV900015,2025-05-06,7973.6,Wire
PAY0000013,INV900015,2025-05-19,5335.21,NEFT
PAY0000014,INV900015,2025-05-20,204.69,Wire
PAY0000015,INV900017,2025-02-14,4313.91,Card
PAY0000016,INV900017,2025-02-23,2801.07,UPI
PAY0000017,INV900017,2025-02-13,4649.05,Wire
PAY0000018,INV900020,2025-10-19,1953.66,UPI
PAY0000019,INV900020,2025-10-17,5468.4,NEFT
PAY0000020,INV900020,2025-10-20,1766.94,UPI
PAY0000021,INV900022,2024-07-20,1099.42,UPI
PAY0000022,INV900022,2024-07-10,340.53,Wire
PAY0000023,INV900026,2024-04-28,2021.9,UPI
PAY0000024,INV900026,2024-04-19,8854.4,UPI
PAY0000025,INV900026,2024-04-29,5698.14,NEFT
PAY0000026,INV900028,2025-11-28,8984.98,NEFT
PAY0000027,INV900032,2025-02-19,14389.36,Card
PAY0000028,INV900036,2025-12-15,14711.87,NEFT
PAY0000029,INV900037,2025-11-02,1834.07,Card
PAY0000030,INV900037,2025-11-03,3431.57,NEFT
PAY0000031,INV900037,2025-10-31,3821.74,NEFT
PAY0000032,INV900039,2025-09-07,4410.09,UPI
PAY0000033,INV900039,2025-09-04,7052.55,Card
PAY0000034,INV900042,2025-04-05,12824.24,NEFT
PAY0000035,INV900045,2025-11-22,424.7,NEFT
PAY0000036,INV900045,2025-11-21,3392.68,Card
PAY0000037,INV900045,2025-11-18,707.69,Card
PAY0000038,INV900051,2024-09-19,3274.02,UPI
PAY0000039,INV900056,2024-12-07,26452.29,Wire
PAY0000040,INV900057,2025-01-23,5206.72,UPI
PAY0000041,INV900060,2025-02-07,5338.72,NEFT
PAY0000042,INV900060,2025-01-30,794.87,NEFT
PAY0000043,INV900061,2024-02-25,2427.13,Card
PAY0000044,INV900061,2024-02-26,1892.41,NEFT
PAY0000045,INV900063,2024-12-16,1788.17,Card
PAY0000046,INV900063,2024-12-03,10725.52,NEFT
PAY0000047,INV900068,2024-08-16,7989.75,Wire
PAY0000048,INV900068,2024-08-18,4842.53,NEFT
PAY0000049,INV900068,2024-08-11,6352.37,UPI
PAY0000050,INV900069,2025-02-04,3150.62,NEFT
PAY0000051,INV900069,2025-02-22,6660.05,UPI
PAY0000052,INV900071,2025-01-11,2463.29,UPI
PAY0000053,INV900071,2025-01-13,725.1,UPI
PAY0000054,INV900072,2025-05-09,161.64,Wire
PAY0000055,INV900072,2025-05-08,2377.66,NEFT
PAY0000056,INV900072,2025-05-02,556.8,UPI
PAY0000057,INV900074,2024-09-10,6073.65,Card
PAY0000058,INV900074,2024-09-24,634.83,UPI
PAY0000059,INV900075,2024-08-13,3865.86,NEFT
PAY0000060,INV900075,2024-08-13,581.92,UPI
PAY0000061,INV900079,2025-10-07,1994.39,UPI
PAY0000062,INV900079,2025-10-10,1230.52,UPI
PAY0000063,INV900079,2025-10-10,1806.52,Card
PAY0000064,INV900081,2024-04-15,4145.31,UPI
PAY0000065,INV900081,2024-04-22,696.65,NEFT
PAY0000066,INV900081,2024-04-10,11134.33,Card
PAY0000067,INV900086,2026-01-25,4871.9,Card
PAY0000068,INV900086,2026-01-24,1851.13,UPI
PAY0000069,INV900086,2026-01-07,21.95,Wire
PAY0000070,INV900089,2024-10-11,3135.34,Card
PAY0000071,INV900089,2024-10-19,2107.83,Card
PAY0000072,INV900090,2025-02-14,708.59,UPI
PAY0000073,INV900090,2025-02-09,898.09,UPI
