shipment_id,order_id,partner_id,pickup_date,delivery_date,promised_delivery_date,sla_breached,shipment_status
S700000,O500002,P1000,2025-12-26,2026-01-01,2025-12-29,True,Delivered
S700001,O500003,P1003,2025-02-09,2025-02-11,2025-02-11,False,Delivered
S700002,O500004,P1003,2025-04-16,2025-04-23,2025-04-15,True,Delivered
S700003,O500005,P1022,2024-06-05,2024-06-11,2024-06-04,True,Delivered
S700004,O500006,P1001,2025-07-01,2025-07-03,2025-06-30,True,Cancelled
S700005,O500007,P1013,2025-08-22,2025-08-26,2025-08-24,True,Delivered
S700006,O500008,P1009,2025-05-11,2025-05-15,2025-05-13,True,In-Transit
S700007,O500009,P1000,2024-12-31,2025-01-06,2025-01-01,True,Delivered
S700008,O500010,P1022,2024-05-26,2024-05-29,2024-05-27,True,Delivered
S700009,O500011,P1000,2024-01-27,2024-01-31,2024-01-29,True,In-Transit
S700010,O500012,P1021,2025-04-04,2025-04-09,2025-04-06,True,Delivered
S700011,O500013,P1019,2025-05-16,2025-05-20,2025-05-17,True,Delivered
S700012,O500014,P1019,2025-07-20,2025-07-28,2025-07-21,True,Cancelled
S700013,O500015,P1004,2025-11-25,2025-11-29,2025-11-29,False,Delivered
S700014,O500016,P1022,2024-12-31,2025-01-02,2025-01-01,True,Delivered
S700015,O500018,P1010,2025-06-08,2025-06-10,2025-06-14,False,Delivered
S700016,O500019,P1017,2024-07-22,2024-07-29,2024-07-24,True,Delivered
S700017,O500020,P1008,2025-09-10,2025-09-17,2025-09-12,True,Cancelled
S700018,O500021,P1006,2024-02-10,2024-02-11,2024-02-09,True,Delivered
S700019,O500022,P1007,2025-03-13,2025-03-20,2025-03-20,False,Delivered
S700020,O500023,P1014,2025-11-20,2025-11-29,2025-11-21,True,Delivered
S700021,O500024,P1015,2025-04-26,2025-04-29,2025-04-30,False,Delivered
S700022,O500025,P1006,2025-11-17,2025-11-19,2025-11-19,False,Cancelled
S700023,O500027,P1023,2025-01-25,2025-01-29,2025-01-29,False,Delivered
S700024,O500028,P1012,2025-07-24,2025-07-30,2025-07-26,True,Delivered
S700025,O500029,P1021,2025-04-16,2025-04-23,2025-04-16,True,Delivered
S700026,O500030,P1008,2025-10-05,2025-10-06,2025-10-10,False,Delivered
S700027,O500031,P1007,2024-12-06,2024-12-15,2024-12-07,True,Delivered
S700028,O500032,P1007,2025-05-14,2025-05-21,2025-05-18,True,In-Transit
S700029,O500033,P1013,2024-11-02,2024-11-09,2024-11-05,True,Delivered
S700030,O500034,P1019,2025-09-29,2025-10-06,2025-10-02,True,Delivered
S700031,O500035,P1012,2024-03-28,2024-04-05,2024-03-30,True,Delivered
S700032,O500036,P1007,2024-07-05,2024-07-09,2024-07-11,False,Delivered
S700033,O500037,P1024,2024-03-13,2024-03-19,2024-03-12,True,Delivered
S700034,O500038,P1014,2025-05-30,2025-06-06,2025-05-31,True,Delivered
S700035,O500039,P1009,2024-06-20,2024-06-23,2024-06-23,False,Delivered
S700036,O500040,P1000,2024-08-21,2024-08-25,2024-08-22,True,Delivered
S700037,O500041,P1014,2025-09-05,2025-09-09,2025-09-06,True,Delivered
S700038,O500042,P1015,2024-09-20,2024-09-23,2024-09-22,True,Delivered
S700039,O500043,P1023,2024-04-18,2024-04-25,2024-04-18,True,Delivered
S700040,O500044,P1005,2024-01-18,2024-01-24,2024-01-23,True,Cancelled
S700041,O500045,P1004,2024-06-14,2024-06-17,2024-06-17,False,Delivered
S700042,O500046,P1024,2025-10-30,2025-11-01,2025-10-31,True,Delivered
S700043,O500047,P1013,2025-02-05,2025-02-09,2025-02-08,True,Delivered
S700044,O500048,P1000,2025-12-30,2026-01-03,2026-01-01,True,Delivered
S700045,O500049,P1002,2024-06-07,2024-06-11,2024-06-10,True,In-Transit
S700046,O500051,P1015,2024-04-29,2024-05-01,2024-05-02,False,Delivered
S700047,O500052,P1006,2024-10-19,2024-10-25,2024-10-22,True,Delivered
S700048,O500053,P1009,2025-02-15,2025-02-16,2025-02-22,False,Delivered
S700049,O500054,P1018,2025-08-13,2025-08-14,2025-08-16,False,Delivered
S700050,O500055,P1024,2024-09-26,2024-09-29,2024-09-28,True,Delivered
S700051,O500056,P1012,2025-07-17,2025-07-23,2025-07-22,True,Delivered
S700052,O500057,P1010,2025-04-02,2025-04-06,2025-04-05,True,Delivered
S700053,O500058,P1009,2024-08-02,2024-08-05,2024-08-05,False,Delivered
S700054,O500059,P1003,2025-10-28,2025-11-01,2025-10-30,True,Delivered
S700055,O500060,P1001,2024-11-13,2024-11-20,2024-11-18,True,Delivered
S700056,O500061,P1020,2024-04-20,2024-04-21,2024-04-23,False,Delivered
S700057,O500062,P1000,2025-12-04,2025-12-08,2025-12-08,False,Delivered
S700058,O500063,P1020,2025-10-31,2025-11-06,2025-11-01,True,Cancelled
S700059,O500064,P1006,2024-02-08,2024-02-12,2024-02-09,True,In-Transit
S700060,O500065,P1017,2025-10-22,2025-10-25,2025-10-23,True,Delivered-Returned
S700061,O500066,P1023,2025-11-25,2025-11-28,2025-11-28,False,Delivered
S700062,O500067,P1018,2025-08-31,2025-09-07,2025-09-01,True,Delivered
S700063,O500068,P1018,2024-07-07,2024-07-14,2024-07-08,True,Delivered
S700064,O500069,P1006,2025-04-06,2025-04-10,2025-04-08,True,Delivered-Returned
S700065,O500070,P1014,2025-01-28,2025-02-01,2025-01-30,True,Cancelled
S700066,O500071,P1016,2025-03-29,2025-04-03,2025-04-01,True,Delivered
S700067,O500072,P1010,2025-03-26,2025-03-30,2025-03-27,True,Delivered
S700068,O500073,P1000,2025-04-14,2025-04-15,2025-04-16,False,Delivered
S700069,O500074,P1022,2025-01-12,2025-01-18,2025-01-12,True,Delivered
S700070,O500075,P1004,2025-05-19,2025-05-26,2025-05-23,True,In-Transit
S700071,O500076,P1024,2025-01-20,2025-01-22,2025-01-23,False,In-Transit
S700072,O500077,P1023,2024-01-14,2024-01-19,2024-01-16,True,Delivered
S700073,O500078,P1000,2024-01-28,2024-02-02,2024-01-28,True,Delivered
S700074,O500079,P1018,2025-12-02,2025-12-04,2025-12-06,False,Delivered
S700075,O500080,P1015,2025-10-28,2025-10-31,2025-11-02,False,Delivered
S700076,O500081,P1005,2025-03-06,2025-03-08,2025-03-08,False,Delivered
S700077,O500082,P1020,2024-05-07,2024-05-11,2024-05-11,False,Delivered
S700078,O500083,P1002,2025-07-27,2025-07-28,2025-07-27,True,Delivered
S700079,O500084,P1006,2024-04-16,2024-04-22,2024-04-17,True,Delivered
S700080,O500085,P1023,2024-10-02,2024-10-09,2024-10-04,True,Delivered-Returned
S700081,O500086,P1018,2024-08-29,2024-08-31,2024-08-31,False,Delivered
S700082,O500087,P1002,2024-01-12,2024-01-19,2024-01-13,True,Delivered
S700083,O500088,P1003,2025-08-12,2025-08-14,2025-08-14,False,Delivered
S700084,O500089,P1006,2025-01-09,2025-01-13,2025-01-11,True,Delivered
S700085,O500090,P1001,2024-08-20,2024-08-23,2024-08-26,False,Delivered
S700086,O500091,P1004,2025-01-05,2025-01-13,2025-01-08,True,Delivered
S700087,O500093,P1000,2024-11-17,2024-11-19,2024-11-17,True,Delivered
S700088,O500094,P1007,2025-01-15,2025-01-18,2025-01-17,True,Delivered
S700089,O500095,P1007,2024-09-06,2024-09-10,2024-09-08,True,Delivered
S700090,O500096,P1024,2025-08-31,2025-09-02,2025-09-02,False,Delivered
S700091,O500097,P1024,2024-07-02,2024-07-08,2024-07-08,False,In-Transit
S700092,O500098,P1021,2024-04-12,2024-04-14,2024-04-17,False,Delivered
S700093,O500099,P1008,2025-01-21,2025-01-24,2025-01-24,False,Delivered
S700094,O500100,P1013,2025-10-10,2025-10-13,2025-10-12,True,In-Transit
S700095,O500101,P1012,2024-10-01,2024-10-04,2024-10-03,True,In-Transit
S700096,O500102,P1021,2024-02-05,2024-02-08,2024-02-07,True,Delivered
S700097,O500103,P1018,2025-12-11,2025-12-12,2025-12-14,False,Delivered
S700098,O500104,P1022,2024-11-20,2024-11-24,2024-11-25,False,Delivered
S700099,O500105,P1013,2024-05-08,2024-05-10,2024-05-10,False,Delivered
S700100,O500106,P1022,2025-03-27,2025-04-01,2025-03-31,True,Delivered
S700101,O500107,P1018,2024-08-22,2024-08-24,2024-08-23,True,Delivered
S700102,O500108,P1018,2025-11-18,2025-11-20,2025-11-20,False,Delivered
S700103,O500109,P1016,2024-08-03,2024-08-11,2024-08-05,True,Delivered
S700104,O500110,P1008,2025-02-06,2025-02-12,2025-02-10,True,Delivered
S700105,O500111,P1015,2025-02-02,2025-02-04,2025-02-02,True,Delivered
S700106,O500112,P1008,2024-06-27,2024-06-29,2024-06-30,False,Delivered
S700107,O500114,P1006,2024-03-22,2024-03-24,2024-03-23,True,Delivered
S700108,O500116,P1014,2025-07-08,2025-07-15,2025-07-09,True,Cancelled
S700109,O500117,P1017,2025-11-26,2025-12-04,2025-11-29,True,Delivered
S700110,O500119,P1019,2024-07-28,2024-08-01,2024-07-28,True,Delivered
S700111,O500120,P1020,2025-02-07,2025-02-08,2025-02-09,False,Delivered
S700112,O500121,P1003,2025-05-21,2025-05-23,2025-05-23,False,Delivered
S700113,O500122,P1008,2025-12-27,2025-12-28,2025-12-29,False,In-Transit
S700114,O500123,P1016,2024-01-19,2024-01-24,2024-01-21,True,Delivered
S700115,O500124,P1021,2024-06-25,2024-07-02,2024-06-25,True,Delivered
S700116,O500125,P1018,2024-07-12,2024-07-14,2024-07-12,True,Delivered
S700117,O500126,P1011,2024-07-05,2024-07-07,2024-07-09,False,Delivered
S700118,O500127,P1007,2024-12-06,2024-12-09,2024-12-06,True,Delivered
S700119,O500128,P1022,2025-10-02,2025-10-05,2025-10-03,True,Delivered
S700120,O500129,P1021,2024-01-25,2024-01-30,2024-01-25,True,Delivered
S700121,O500130,P1022,2025-08-19,2025-08-25,2025-08-21,True,Cancelled
S700122,O500132,P1010,2025-03-25,2025-04-01,2025-03-28,True,Cancelled
S700123,O500133,P1006,2025-05-12,2025-05-15,2025-05-15,False,Cancelled
S700124,O500134,P1023,2024-03-26,2024-04-02,2024-03-26,True,Delivered
S700125,O500135,P1021,2025-07-01,2025-07-04,2025-07-01,True,Delivered
S700126,O500136,P1004,2024-07-01,2024-07-09,2024-07-05,True,Delivered
S700127,O500137,P1006,2025-01-13,2025-01-18,2025-01-19,False,Cancelled
S700128,O500138,P1013,2025-05-10,2025-05-15,2025-05-16,False,Delivered
S700129,O500139,P1010,2025-03-19,2025-03-25,2025-03-21,True,Delivered
S700130,O500140,P1011,2024-08-26,2024-09-02,2024-08-25,True,Delivered
S700131,O500142,P1016,2024-12-14,2024-12-16,2024-12-16,False,Cancelled
S700132,O500143,P1022,2024-01-31,2024-02-12,2024-02-03,True,Delivered
S700133,O500144,P1022,2025-06-15,2025-06-18,2025-06-17,True,In-Transit
S700134,O500145,P1011,2024-03-15,2024-03-18,2024-03-16,True,Delivered
S700135,O500146,P1020,2024-12-03,2024-12-06,2024-12-03,True,Delivered-Returned
S700136,O500147,P1017,2025-04-23,2025-04-27,2025-04-30,False,Delivered
S700137,O500148,P1004,2024-02-28,2024-02-29,2024-03-01,False,Delivered
S700138,O500150,P1008,2024-10-02,2024-10-08,2024-10-03,True,Delivered
S700139,O500152,P1018,2025-04-27,2025-04-29,2025-04-28,True,Delivered
S700140,O500153,P1023,2025-02-13,2025-02-15,2025-02-14,True,Cancelled
S700141,O500154,P1023,2025-04-13,2025-04-18,2025-04-16,True,Delivered-Returned
S700142,O500155,P1020,2025-07-03,2025-07-06,2025-07-09,False,Delivered
S700143,O500156,P1012,2024-12-14,2024-12-16,2024-12-15,True,Delivered
S700144,O500157,P1010,2025-08-27,2025-09-03,2025-08-30,True,In-Transit
S700145,O500158,P1011,2024-09-29,2024-10-02,2024-10-01,True,Delivered
S700146,O500159,P1023,2025-02-02,2025-02-08,2025-02-05,True,Delivered
S700147,O500160,P1005,2024-04-26,2024-05-05,2024-04-29,True,Delivered
S700148,O500161,P1013,2025-03-31,2025-04-05,2025-04-01,True,In-Transit
S700149,O500162,P1016,2024-07-11,2024-07-16,2024-07-15,True,In-Transit
S700150,O500163,P1000,2025-05-24,2025-05-27,2025-05-26,True,Delivered
S700151,O500164,P1015,2025-08-09,2025-08-18,2025-08-15,True,Delivered
S700152,O500165,P1006,2025-09-19,2025-09-24,2025-09-21,True,Delivered
S700153,O500166,P1007,2025-11-10,2025-11-15,2025-11-12,True,Delivered-Returned
S700154,O500167,P1015,2024-03-30,2024-04-05,2024-04-01,True,Delivered
S700155,O500169,P1003,2025-11-10,2025-11-13,2025-11-12,True,Delivered
S700156,O500172,P1002,2024-07-28,2024-08-01,2024-08-04,False,Delivered
S700157,O500173,P1009,2025-09-03,2025-09-08,2025-09-06,True,Delivered
S700158,O500174,P1007,2024-09-17,2024-09-21,2024-09-17,True,Delivered
S700159,O500175,P1013,2024-02-28,2024-03-02,2024-02-29,True,Delivered
S700160,O500176,P1007,2025-06-11,2025-06-15,2025-06-15,False,Delivered
S700161,O500177,P1000,2024-05-22,2024-05-24,2024-05-24,False,Delivered
S700162,O500179,P1021,2024-01-05,2024-01-06,2024-01-06,False,Delivered
S700163,O500180,P1014,2025-03-17,2025-03-21,2025-03-21,False,Delivered
S700164,O500181,P1009,2024-11-21,2024-11-24,2024-11-23,True,Delivered
S700165,O500182,P1012,2025-09-27,2025-10-04,2025-09-28,True,Delivered
S700166,O500183,P1003,2024-09-01,2024-09-04,2024-09-08,False,Delivered
S700167,O500184,P1005,2024-05-30,2024-06-04,2024-06-02,True,Delivered
S700168,O500185,P1010,2024-05-03,2024-05-06,2024-05-05,True,Delivered
S700169,O500186,P1014,2024-05-26,2024-05-29,2024-05-29,False,Delivered
S700170,O500188,P1024,2024-03-06,2024-03-12,2024-03-08,True,Delivered
